Titel|Autoren|Schriftenreihe|Kategorien|Publikationsdatum|Verlag|Seiten|ISBN
"""Geschafft! Wir sind blöd!"""|Oliver Kalkofe|||2010|Ullstein Taschenbuch|133|9783548372891
"""Wir treten aus unserer Rolle heraus"" Die Bürgerbewegung 1989/90 in Dresden"|Hans-Peter Lühr|Dresdner Hefte (Band 59)||1999|Sandstein Verlag Dresden|100|39100516
'Mind-boggling', Evening Post|Max Goldt|||2001|Diana|0|9783453177062
. . . und alle Fragen offen. Das Beste aus dem Literarischen Quartett|Marcel Reich-Ranicki, Sigrid Löffler, Hellmuth Karasek|||01/01/2000|Heyne|768|9783453165069
... und auf einmal im Rathaus: Erfahrungsberichte kommunaler Mandatsträger der ersten Wahlperiode 1990-1993 in Brandenburg|Bernd Feldhaus|||1995|Waxmann Verlag Münster/New York|196|3893253076
100 Tips für den Kleinsäugerfreund|Joachim Haensel|Berliner Tierpark-Buch (Band 34)||1983|Urania Verlag Leipzig , Jena , Berlin|157|
1001 Comics die Sie lesen sollten, bevor das Leben vorbei ist|Paul Gravett|||2012|Edition Olms|960|9783283011574
1632 (Ring Of Fire)|Eric Flint||Alternate History|01/02/2001|Baen|608|9780671319724
1968 - Vom Ereignis zum Gegenstand der Geschichtswissenschaft|Ingrid Gilcher-Holtey|||1998|Vandenhoeck & Ruprecht|307|3525364172
2001. Odyssee im Weltraum.|Arthur C. Clarke||SF|03/2000|Heyne|265|9783453164093
200x Schmitt|Erich Schmitt|||1970|Berliner Verlag||
2084|Boualem Sansal||SF|05/2016|Merlin|280|9783875363210
50 Klassiker Comics|Andreas C. Knigge|||2004|Gerstenberg Verlag|271|9783836925563
660 Curries|Raghavan Iyer||Cooking|01/05/2008|Workman Publishing|809|9780761137870
80286/80386/i486 effizient programmiert. Vom Prozessorkonzept zur Programmierung|Stephen Fedtke||Informatik|1991|Vieweg|669|9783528046231
A TOLKIEN COMPASS|Jared Lobdell|||1975|Del Rey|216|0345288556
Abenteuer in Sachsen - Zwei Erzählungen (Die Rose von Ernstthal, Wanda)|Karl May|||1991|Treptower Verlagshaus|233|3730306693
Abenteuer Kryptologie. Methoden, Risiken und Nutzen der Datenverschlüsselung (Informationssicherheit)|Reinhard Wobst||Kryptographie|1998|Addison-Wesley|408|9783826314130
Abgehauen|Manfred Krug|||01/07/1997|Econ|264|3430157234
Adams Tagebuch|Mark. Twain|Kleine Diogenes Taschenbücher (Band 70.084)||1996|Diogenes Verlag Zürich|107|9783257700848
Admiral Yi Soon-shin.|AK|||2007|Pohang: Yonghwa,|72|0977961303
Adult Comics|Roger Sabin||Comic books, strips, etc|01/01/1993|Taylor & Francis|321|0415044197
Advanced Programming in the Unix Environment (Addison-Wesley Professional Computing Series)|W. Richard Stevens||Informatik|1993|Addison-Wesley|744|9780201563177
Against A Dark Background (English Edition)|Iain M. Banks|||04/09/2008|Orbit|644|9781857231793
Aladin und die Wunderlampe|Ludek Kubišta, Jiri Behounek||||Artist Verlag, Prag|55|
Alice im Wunderland / Alice im Spiegelland|Lewis Carroll|Reclams Universal Bibliothek (Band 893)||1976|Reclam Leipzig|259|
Alles über Alf. Das grosse Interview und alle seine Sprüche von A bis Z im Melmac-Alf-A-Bet|Siegfried Rabe|||1988|Loewe|151|3785522258
Alles über die Kunst des Jonglierens|Dave Finnigan|||2008|DuMont Buchverlag GmbH|531|9783832122140
Allgemeine Biologie|Eike Libbert|UTB (Band 1.197)||1991|Gustav Fischer Verlag|533|3334003965
Allgemeine Geschichte der Neuzeit 1500-1917|Ltg. Manfred Kossok Autorenkollektiv|||1986|Deutscher Verlag der Wissenschaften|518|3326000537
Allgemeine Geschichte des Mittelalters|AK|||1985|VEB Deutscher Verlag der Wissenschaften, Berlin|476|
Alltag in der DDR: Fotos aus den 80er Jahren|Mahmoud Dabdoub, Gunter Böhnke, Bernd Lindner||Fotokunst|2003|Passage-Verlag|160|3932900731
Als Soldat in der DDR|Erich Hasemann||Militaria|1997|Das Neue Berlin|345|3932180062
Als Wilhelm kam|Saki|||1992|Heyne|221|9783453054189
Amateurfunk-Lehrgang für das Amateurfunkzeugnis Klasse E. Mit allen Prüfungsfragen|Eckart K Moltrecht|||15/09/2016|VTH GmbH|240|9783881803649
American Vertigo|Bernard-Henri Lévy|||2007|Campus Verlag|381|9783593382395
Amerika|Andreas Feininger||Fotokunst|1998|Weingarten|95|3817025211
Amphibienforschung und Vivarium|Hans-Joachim (Hrsg.) Herrmann|||1991||158|
Andreas Baader. Das Leben eines Staatsfeindes|Jörg Herrmann, Klaus Stern|||2007|DTV Deutscher Taschenbuch|360|9783423245845
Andymon|Angela und Karlheinz Steinmüller|||1982|Neues Leben, Berlin|279|
Angela Merkel - Die Protestantin|Volker Resing||||St. Benno|160|9783746226484
Angle richtig!|Wolfgang Zeiske|||1983|Sportverlag Berlin|153|
Anmerkungen zu Honecker|Henrik Eberle|||2000|Schwarzkopf & Schwarzkopf|315|9783896023186
Apokalypse Vietnam (Das Buch zur mdr Fernsehserie)|Wolfgang Schneider||Militaria|01/01/2000|Rowohlt, Berlin|0|9783871344121
Aquarienkunde Band 1|Günther Sterba|||1979|Urania Verlag Leipzig , Jena , Berlin|446|
Aquarienpraxis kurz gefaßt|Hans Frey||Aquaristik|1983|Neumann Verlag Leipzig Radebeul|123|
Archäologische Geheimnisse unserer Heimat|Friedrich Schlette|||1985|Verlag Neues Leben Berlin|267|
Astroführer. Eine Anleitung zur Beobachtung von Himmelserscheinungen|Klaus Lindner||Astronomie|1986|Urania-Verlag|195|3332000306
Atomvulkan Golkonda|Arkadi und Boris Strugatzki|||1961|Verlag Kultur und Fortschritt, Berlin|288|
Auf dem Zeitstrom (Heyne Science Fiction und Fantasy (06))|Philip J Farmer|||09/1997|Heyne|0|3-453-30567-1
Auf der Suche nach dem Licht|Gerd-Helge Vogel||Kunst|2012|Thomas Helms Verlag, Schwerin|31|9783940207999
Auferstehung der Toten: Kriminalroman (Privatdetektiv Brenner, Band 1)|Wolf Haas|||01/08/2000|Rowohlt Taschenbuch|160|9783499228315
Aus meinem Leben|Erich Honecker|||1981|Dietz Verlag Berlin|493|
Ausgebrannt|Andreas Eschbach||German fiction|2008|Bastei Lübbe (Bastei Entertainment)|750|9783404159239
Ausgewählte Werke in sechs Bänden|AK|||1975|Dietz Verlag Berlin||
Ausgezeichnete Spiele. Ratgeber der Jury 'Spiel des Jahres'|AK|||1997|Don Bosco Medien GmbH|208|3769810538
Ausweitung der Kampfzone|Michel Houellebecq, Leopold Federmair|||2000|Rowohlt Tb.|169|9783499227301
